#{"t_start": 1711990683.188729, "env_id": "None"}
r,l,t
304.0,304,6478.605022
75.0,75,6483.054084
75.0,75,6492.924225
75.0,75,6495.918271
75.0,75,6498.784309
304.0,304,6502.069356
304.0,304,6505.491405
313.0,313,6517.823583
74.0,74,6523.416665
192.0,192,6531.864787
69.0,69,6536.870859
223.0,223,6546.625001
186.0,186,6554.610114
198.0,198,6563.052234
184.0,184,6571.482356
184.0,184,6578.921465
228.0,228,6588.744606
230.0,230,6599.170757
301.0,301,6611.956941
66.0,66,6617.437017
73.0,73,6622.373091
68.0,68,6626.717153
287.0,287,6637.73531
302.0,302,6648.79447
222.0,222,6657.406597
67.0,67,6662.02166
63.0,63,6666.524725
202.0,202,6674.026834
63.0,63,6678.610899
200.0,200,6686.696016
203.0,203,6695.392141
194.0,194,6703.200253
203.0,203,6710.688361
289.0,289,6720.168497
306.0,306,6730.565647
300.0,300,6740.672794
199.0,199,6747.744894
310.0,310,6757.85092
64.0,64,6762.375985
283.0,283,6771.918123
296.0,296,6782.252273
205.0,205,6790.345387
65.0,65,6794.917453
65.0,65,6799.58152
68.0,68,6804.343591
66.0,66,6809.124659
213.0,213,6818.502794
303.0,303,6829.478951
65.0,65,6834.192018
64.0,64,6838.731084
303.0,303,6849.712242
300.0,300,6859.881388
295.0,295,6870.655544
295.0,295,6881.5017
303.0,303,6892.078851
309.0,309,6902.99501
258.0,258,6912.584149
63.0,63,6923.1473
296.0,296,6926.530348
63.0,63,6929.570391
63.0,63,6932.456435
296.0,296,6935.686481
67.0,67,6940.438549
307.0,307,6951.66971
293.0,293,6962.268867
298.0,298,6973.330022
290.0,290,6983.334166
271.0,271,6993.21431
259.0,259,7002.308439
59.0,59,7006.675503
58.0,58,7010.953565
257.0,257,7019.509686
57.0,57,7023.914752
62.0,62,7028.236812
61.0,61,7032.598876
60.0,60,7037.271943
62.0,62,7041.611007
54.0,54,7045.989068
58.0,58,7050.432134
296.0,296,7059.98227
65.0,65,7064.280335
291.0,291,7073.872472
62.0,62,7078.524536
69.0,69,7083.181604
58.0,58,7087.59667
58.0,58,7091.794729
261.0,261,7101.317867
299.0,299,7111.440011
288.0,288,7121.718162
263.0,263,7131.4373
56.0,56,7135.915363
62.0,62,7140.419429
313.0,313,7151.515587
64.0,64,7156.031657
63.0,63,7160.445716
67.0,67,7165.292786
59.0,59,7169.625848
313.0,313,7180.72701
202.0,202,7189.045131
64.0,64,7193.907198
294.0,294,7204.225347
66.0,66,7208.754412
64.0,64,7213.515482
304.0,304,7224.481639
289.0,289,7235.100792
344.0,344,7246.573957
302.0,302,7257.494114
62.0,62,7261.922179
62.0,62,7266.446243
296.0,296,7277.289399
344.0,344,7289.030568
63.0,63,7293.447632
66.0,66,7298.068699
57.0,57,7302.599764
350.0,350,7314.299932
310.0,310,7324.51059
318.0,318,7334.725738
60.0,60,7338.9618
67.0,67,7343.570863
61.0,61,7348.030928
304.0,304,7358.433078
66.0,66,7362.942142
302.0,302,7369.680241
302.0,302,7373.169291
60.0,60,7376.249338
60.0,60,7379.34638
302.0,302,7382.771428
57.0,57,7387.417495
293.0,293,7397.555642
67.0,67,7402.098707
218.0,218,7410.162822
250.0,250,7419.230955
63.0,63,7423.593016
181.0,181,7431.429129
63.0,63,7435.921195
66.0,66,7440.641262
60.0,60,7445.117214
294.0,294,7455.697365
299.0,299,7466.334521
222.0,222,7475.127646
64.0,64,7479.68071
307.0,307,7490.696869
291.0,291,7501.242022
297.0,297,7511.865175
68.0,68,7516.618243
64.0,64,7521.131308
64.0,64,7525.659375
60.0,60,7530.084437
346.0,346,7542.13961
61.0,61,7546.462673
62.0,62,7550.903737
63.0,63,7555.238799
187.0,187,7562.740907
312.0,312,7573.33606
212.0,212,7581.409175
60.0,60,7585.693239
63.0,63,7590.156301
62.0,62,7594.591366
65.0,65,7599.104431
173.0,173,7605.807528
277.0,277,7615.291664
64.0,64,7619.392722
63.0,63,7623.647784
64.0,64,7627.728843
301.0,301,7637.429986
65.0,65,7641.657054
284.0,284,7650.635183
311.0,311,7660.320324
313.0,313,7670.226467
59.0,59,7674.239524
64.0,64,7678.467585
326.0,326,7688.185724
293.0,293,7697.441858
64.0,64,7701.770922
315.0,315,7711.938066
64.0,64,7716.307129
63.0,63,7720.783194
65.0,65,7725.123255
266.0,266,7734.649395
290.0,290,7744.76254
291.0,291,7754.787685
261.0,261,7763.702812
65.0,65,7768.069875
333.0,333,7779.171035
234.0,234,7787.794159
