#{"t_start": 1707317816.0819433, "env_id": "None"}
r,l,t
4904.721347,5000,83766.004929
4919.299653,5000,83850.936105
4872.300576,5000,83936.461579
4902.573975,5000,84021.250513
4942.089904,5000,84106.5276
4833.284712,5000,84191.980319
4820.088871,5000,84278.061511
4760.445418,5000,84363.452486
5122.074422,5000,84449.381022
5027.745165,5000,84534.840646
5049.50385,5000,84619.048734
4967.564522,5000,84704.937917
4923.261933,5000,84789.876272
4995.608682,5000,84875.678523
4084.004625,5000,84960.572968
4964.508426,5000,85045.914035
4697.190139,5000,85131.161169
4944.540745,5000,85216.757491
4943.112382,5000,85301.790628
4840.732179,5000,85387.692106
4791.954771,5000,85472.850431
4906.705412,5000,85557.710904
4634.271249,5000,85643.4412
5006.990084,5000,85728.897722
5065.501653,5000,85814.394714
4750.930781,5000,85899.136898
4896.582647,5000,85984.063244
4920.212261,5000,86069.680691
4812.133182,5000,86154.717703
5002.466123,5000,86239.614916
4888.579751,5000,86324.472064
4925.388717,5000,86409.440964
4929.342073,5000,86494.63409
4918.08541,5000,86579.807415
4852.479502,5000,86664.902748
4862.617477,5000,86750.756376
4865.747575,5000,86835.972789
4858.463956,5000,86921.083871
4886.397658,5000,87006.651043
4884.825995,5000,87091.497449
4804.202722,5000,87176.042305
4786.231124,5000,87261.51055
4939.518881,5000,87346.693531
4953.985417,5000,87432.503949
4863.362109,5000,87518.087226
4715.253082,5000,87603.487064
4971.746124,5000,87688.987019
4948.39661,5000,87774.231893
-1800.353424,5000,87859.673027
4065.555583,5000,87944.39691
4799.016069,5000,88029.156615
4738.927889,5000,88114.500603
4804.429759,5000,88199.253441
4692.898422,5000,88284.40242
4866.790908,5000,88369.146042
4863.220726,5000,88454.780761
4895.074471,5000,88540.009859
4919.261088,5000,88624.949543
4880.689368,5000,88709.938583
4872.848944,5000,88794.808691
856.364894,5000,88880.434521
5017.878547,5000,88965.927674
4761.322176,5000,89051.295506
4856.752478,5000,89136.370089
5012.454669,5000,89221.939192
5013.7496,5000,89306.715177
4939.595396,5000,89391.848496
4995.381949,5000,89476.803417
4775.405845,5000,89562.117219
5036.818811,5000,89646.940779
4461.956359,5000,89732.051752
4934.293407,5000,89817.136636
5044.226424,5000,89902.594373
4972.467852,5000,89988.109128
4926.530775,5000,90072.635936
4957.988491,5000,90158.017836
4908.590727,5000,90243.624802
4703.677956,5000,90329.412915
4867.194707,5000,90414.46059
4894.920371,5000,90500.081459
4888.442243,5000,90585.601375
4928.543475,5000,90670.43322
4933.876942,5000,90755.575212
4944.664376,5000,90840.576183
4941.641065,5000,90925.985457
4794.656024,5000,91011.550501
80.823185,5000,91096.746897
4945.898054,5000,91182.154879
4891.610903,5000,91266.865925
4950.496176,5000,91352.482047
4924.682265,5000,91437.846104
4946.28697,5000,91523.751269
4898.412312,5000,91609.093666
-406.926067,5000,91694.676863
-1602.558147,5000,91780.404015
4735.520487,5000,91865.256287
4986.758031,5000,91950.826389
-1631.843428,5000,92036.497725
4890.577761,5000,92120.921907
5009.121058,5000,92206.332051
4987.255405,5000,92291.609944
5015.914478,5000,92376.758754
5124.180771,5000,92462.165274
4881.421138,5000,92547.735187
4856.638657,5000,92632.865471
4901.453863,5000,92718.215079
4908.369625,5000,92803.642265
4688.862984,5000,92889.383363
4886.421152,5000,92973.521492
4908.993895,5000,93058.699805
4909.157111,5000,93143.885954
4918.023192,5000,93228.465266
4591.969669,5000,93313.46699
4964.135817,5000,93398.762016
5054.223496,5000,93484.293578
4977.280534,5000,93569.543637
4911.345497,5000,93655.272735
4934.121952,5000,93740.797037
4968.138923,5000,93826.721391
4917.502867,5000,93911.489369
4998.61783,5000,93997.132491
4986.123314,5000,94082.13471
4980.451056,5000,94167.787549
4958.471762,5000,94255.021166
5021.341267,5000,94340.517838
4949.763223,5000,94425.78262
4909.162285,5000,94511.726623
3535.939119,5000,94597.158957
4716.977842,5000,94681.954737
4623.306407,5000,94767.240486
4929.851327,5000,94852.598297
4889.796409,5000,94937.840018
4935.235842,5000,95023.129678
4969.103605,5000,95108.684234
4797.238133,5000,95194.074252
4939.282644,5000,95279.459004
4841.674971,5000,95364.796919
4787.074895,5000,95449.941547
4850.627049,5000,95535.446192
4796.113752,5000,95620.931597
5031.695231,5000,95706.28678
4959.790003,5000,95791.492852
5114.515062,5000,95877.360613
4937.163079,5000,95962.847761
5006.831211,5000,96048.274557
4884.419567,5000,96133.864353
4935.012571,5000,96218.985243
4977.708562,5000,96304.01086
4992.527441,5000,96389.627639
4881.066013,5000,96474.831607
4891.972021,5000,96560.628491
